2015,9,1291
2015,10,1549
2015,11,2243
2015,12,2074
2016,1,6257
2016,2,4197
2016,3,2998
2016,4,1479
2016,5,2190
2016,6,1621
2016,7,1043
2016,8,1028
2016,9,1034
2016,10,1096
2016,11,1113
2016,12,963.6
2017,1,859.8
2017,2,688
2017,3,602
